,name,lat.old,long.old,state,stateAbb,DRNAREA,PctAg2006Slp10Ws,PctAg2006Slp20Ws,CBNFWs,FertWs,ManureWs,BFIWs,CanalDensWs,CoalMineDensWs,DamDensWs,DamNIDStorM3Ws,DamNrmStorM3Ws,ElevWs,NPDESDensWs,SuperfundDensWs,TRIDensWs,PctFire2000Ws,PctFire2001Ws,PctFire2002Ws,PctFire2003Ws,PctFire2004Ws,PctFire2005Ws,PctFire2006Ws,PctFire2007Ws,PctFire2008Ws,PctFire2009Ws,PctFire2010Ws,PctFrstLoss2001Ws,PctFrstLoss2002Ws,PctFrstLoss2003Ws,PctFrstLoss2004Ws,PctFrstLoss2005Ws,PctFrstLoss2006Ws,PctFrstLoss2007Ws,PctFrstLoss2008Ws,PctFrstLoss2009Ws,PctFrstLoss2010Ws,PctFrstLoss2011Ws,PctFrstLoss2012Ws,PctFrstLoss2013Ws,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,P2O5Ws,SWs,SiO2Ws,NWs,HydrlCondWs,CompStrgthWs,PctImp2006Ws,AgKffactWs,KffactWs,PctAlkIntruVolWs,PctAlluvCoastWs,PctCarbResidWs,PctCoastCrsWs,PctColluvSedWs,PctEolCrsWs,PctEolFineWs,PctExtruVolWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctGlacTilClayWs,PctGlacTilCrsWs,PctGlacTilLoamWs,PctHydricWs,PctNonCarbResidWs,PctSalLakeWs,PctSilicicWs,PctWaterWs,MineDensWs,NABD_DensWs,NABD_NIDStorM3Ws,NABD_NrmStorM3Ws,InorgNWetDep_2008Ws,NH4_2008Ws,NO3_2008Ws,SN_2008Ws,PctBl2006Ws,PctConif2006Ws,PctCrop2006Ws,PctDecid2006Ws,PctGrs2006Ws,PctHay2006Ws,PctHbWet2006Ws,PctIce2006Ws,PctMxFst2006Ws,PctOw2006Ws,PctShrb2006Ws,PctUrbHi2006Ws,PctUrbLo2006Ws,PctUrbMd2006Ws,PctUrbOp2006Ws,PctWdWet2006Ws,PctBl2011Ws,PctConif2011Ws,PctCrop2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctIce2011Ws,PctMxFst2011Ws,PctOw2011Ws,PctShrb2011Ws,PctUrbHi2011Ws,PctUrbLo2011Ws,PctUrbMd2011Ws,PctUrbOp2011Ws,PctWdWet2011Ws,PctNonAgIntrodManagVegWs,Pestic97Ws,Precip08Ws,Precip09Ws,Tmean08Ws,Tmean09Ws,Precip8110Ws,Tmax8110Ws,Tmean8110Ws,Tmin8110Ws,RdDensWs,RdCrsWs,RdCrsSlpWtdWs,RunoffWs,ClayWs,SandWs,OmWs,PermWs,RckdepWs,WtDepWs,HUDen2010Ws,PopDen2010Ws,AvgWetIndxWs
0,S19S_0006,39.311813,-76.717476,Maryland,MD,20.5866,0.03497420652,0.004371775815,0.00734458337,0.01416455364,0.00118037947,46.8018274,0.0,0.0,0.0,0.0,0.0,124.1737226,0.0,0.0,0.09715057367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03060243071,0.0,0.0,0.0,0.0,0.06994841305,0.008743551631,0.004371775815,0.0,0.0,0.0,0.0,0.0,12.51408246,8.975902306,9.28830541,0.4584012005,11.38476213,1.814042261,0.1415699513,0.08811594572,48.32874973,0.04549967974,3.066263355,173.2344767,33.77297368,0.000359359972,0.3476042669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.473779576,2.95353012,9.67305163,630.4154367,0.1005508438,0.02623065489,0.0,11.92620442,0.02185887908,0.1049226196,0.0,0.0,0.5595873044,0.0,0.2404476698,7.392672904,38.72956195,18.39206086,22.26545423,0.2404476698,0.0568330856,0.0,0.0,11.0999388,0.01748710326,0.03934598234,0.0,0.0,0.7169712337,0.0,0.1879863601,7.685581883,38.48037073,19.66424762,21.96817347,0.08306374049,88.69458774,2.310087785,1262.845199,1411.507508,12.92886878,12.57540105,1129.738074,18.67254415,13.02585217,7.373874034,13.8115692,2.477339629,0.03006461679,371.0,23.94330157,24.46458293,0.675100988,2.968703331,148.4298925,118.1002505,649.5100506,1557.463948,455.8217627
1,S19S_0008,36.961273,-119.028254,California,CA,3.8304,0.0,0.0,0.0,0.0,0.0,72.90625,0.0,0.0,0.0,0.0,0.0,2236.984011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.396616541,0.0,0.0,0.0,0.0234962406,0.0,0.117481203,0.0,0.0,0.0,0.0,0.0,0.0234962406,14.13628576,3.299004549,4.466715922,2.775853872,1.94656945,2.683691696,0.1452887356,0.03492458967,64.70874566,0.01933412492,0.07793944153,139.5730197,0.000469924812,0.0,0.1878289474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.987481682,1.472034064,3.749258032,186.9061076,0.0,97.13345865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.866541353,0.0,0.0,0.0,0.0,0.0,0.0,97.13345865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.866541353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.3279132,1080.894281,9.155214084,9.209352128,1210.914351,13.85415139,8.589035122,3.316709902,0.1860166201,0.0,0.0,446.0,7.055737782,63.73414944,1.340014098,22.86112312,83.95366541,175.2447603,0.2324168179,0.364040628,297.5775376
3,S19S_0010,31.667905,-81.8403,Georgia,GA,35278.2261,0.4700159796,0.009163726064,0.9452907441,7.795407187,7.496730869,47.11670199,7.49e-05,0.0,0.03753023171,64117.70584,42677.24393,135.6207976,0.001473997016,0.003033032321,0.01238724415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01340883747,0.0,0.0,0.0,1.172217103,0.9487721946,1.02667152,1.190567516,1.393062391,1.363856841,1.282658881,1.288503562,0.8909504098,1.221813985,1.061043146,1.464405264,1.344049723,12.96933872,5.07640763,4.841673626,2.34229554,1.958521245,1.738277649,0.1343038615,0.1103784217,62.38630426,0.1884854914,1.964071722,86.30391808,2.270844333,0.03170956938,0.1996675585,0.0,37.30724828,8.453167377,0.0,0.0,0.1469232037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31.11498285,0.0,22.69627384,0.2814044553,0.001218882148,0.02766579015,60177.24238,40435.56556,2.400236757,1.47448293,5.566815972,360.7418427,0.5237737846,24.90377514,6.358110506,19.14515651,8.190330182,10.01480712,0.5402235913,0.0,3.999479157,1.255052901,3.482580719,0.3492701125,3.036517474,0.7729062091,6.547762899,10.8802537,0.5310904791,22.13845242,6.180854144,17.40342608,8.903131328,9.668728497,0.8702988612,0.0,3.462225103,1.278406116,6.516845528,0.4272383185,3.150880367,1.024380588,6.76388346,11.68015871,47.07361179,61.74743377,1107.847082,1589.078685,17.44701249,17.3748718,1194.578144,24.17206673,17.71581576,11.25457949,2.081927054,0.3583230054,0.002787913132,388.4034932,27.59026145,48.66108878,0.4601603683,7.802411124,148.5145636,141.6287948,32.54487136,80.61614739,497.8696279
4,S19S_0011,33.95569,-83.437673,Georgia,GA,1010.3724,3.549324982,0.1002105758,0.481807104,4.960566916,69.08292536,59.08899145,0.0,0.0,0.03760989512,19988.0737,2526.420146,270.9292715,0.001979468164,0.002969202247,0.03563042696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010528791,0.5568144973,0.6613007244,0.7737147214,0.7826223282,0.8716093195,0.6644183867,0.2923476532,0.1722731143,0.3352823177,0.1793101237,0.1182930175,0.1741437118,14.59008754,3.886818422,6.158922064,2.326688867,2.623095028,2.878852867,0.1310791394,0.02798673076,64.23599943,0.01594187113,0.5612659749,144.0360557,4.955719396,0.06228233372,0.2577400511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,66.92088976,0.0,33.07911024,0.0,0.002969202247,0.03167149063,19327.97784,2193.503296,2.617008089,1.673869011,5.848815898,392.9844169,0.921224689,5.225023961,0.05353471651,36.89432728,7.548216875,24.03682048,0.01790428955,0.0,0.5289336882,0.6033122045,0.2423759794,0.4720140811,8.378851204,1.60479443,10.34582892,3.126837194,0.6702083311,4.746952708,0.04703216359,35.03076687,7.181045325,20.96236002,0.141452795,0.0,0.4809216879,0.5676817775,0.4457366413,0.7483280422,9.797120349,2.949397668,13.17880417,3.052191449,51.7229093,3.063446611,1057.364055,1784.855568,15.72214547,15.75207584,1300.535533,22.15875118,16.15299044,10.14223486,2.959429523,0.4800210299,0.006089271946,431.0000463,33.92742497,36.14161026,0.28,4.683087466,146.8154866,173.9709059,61.0628801,167.0862211,406.060708
5,S19S_0012,42.47178,-72.33105,Massachusetts,MA,14.3442,1.298782783,0.03764587778,0.3543731961,3.056468817,0.9302296399,48.14468566,0.0,0.0,0.0,0.0,0.0,296.7564349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01882293889,0.07529175555,0.01882293889,0.0,0.08156606852,0.1380348852,0.01882293889,0.1003890074,0.01254862593,0.3199899611,0.0,0.01254862593,0.332538587,14.95538056,3.986978389,6.429389237,2.455769505,2.854095937,2.37414052,0.1443293134,0.05006296304,62.04051867,0.02288443095,0.1526745917,126.5004669,0.6290626176,0.008416363408,0.1898117706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76157611,0.0,0,0.0,0.0,0.0,0.2384238926,0.0,0.0,0.0,0.0,5.427145314,2.857858917,14.24988027,766.7594902,0.0,17.24181202,0.0,52.00778015,0.0,4.429664952,0.03764587778,0.0,17.26063496,0.0,0.03137156481,0.0,0.6588028611,0.03137156481,6.757435061,1.543480989,0.05646881666,16.18145313,0.0,51.31133141,0.1066633204,4.373196135,0.07529175555,0.0,17.26690927,0.0501945037,0.1945037018,0.0,0.6588028611,0.03137156481,6.782532313,2.911281215,12.55490024,48.63761584,1688.440744,1340.684231,7.69715064,7.237455241,1343.256405,13.5936964,7.640618155,1.680519926,2.541239245,1.324577181,0.04936806235,469.0,4.99,55.7,1.45,13.98,139.56,99.95,3.130422438,6.63362628,388.6814531
6,S19S_0014,39.0944,-77.9815,Virginia,VA,12.5973,7.837393727,0.2143316425,9.45802672,13.39887119,3.940844467,47.66835751,0.0,0.0,0.0,0.0,0.0,172.3048117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2214760306,0.2929199114,0.02143316425,0.0,0.02143316425,0.0,0.01428877617,0.09287704508,0.0,0.0,1.845470426,35.82422934,1.18581121,0.5197086911,7.616624662,0.2169998494,0.08214504009,0.08291125065,13.25346828,0.04840160833,0.0864897044,107.1282152,0.5223262128,0.2675237551,0.339428449,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.825776289,2.426362915,8.617295309,551.8727196,0.0,3.565049653,0.85732657,9.759234122,0.0,77.95956276,0.2714867472,0.0,0.8716153461,0.03572194042,0.0,0.0,0.5215403301,0.0,6.158462528,0.0,0.0,3.565049654,0.85732657,9.759234122,0.0,77.95956276,0.2714867472,0.0,0.8716153461,0.03572194042,0.0,0.0,0.5215403301,0.0,6.158462528,0.0,86.47567336,720.2441155,1040.807931,1018.05728,12.07693194,11.87307914,973.9609144,18.36143339,12.15306272,5.939226445,4.308015832,0.6350567185,0.006647329983,404.0,34.88715439,11.21186254,0.6144638137,3.810971637,174.4031171,159.1588047,12.37856357,26.79205692,420.8603272
7,S19S_0015,31.185895,-84.437254,Georgia,GA,15123.8385,0.3422583493,0.006474546789,2.358696676,12.98383452,4.338595648,53.81172661,0.002924152308,0.0002644831205,0.02988659261,32170.19925,20563.66914,153.555658,0.001124053262,0.002578710425,0.01018260014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8756288954,0.8392690784,0.8533309847,1.004911551,0.9266100005,1.096656117,1.031940403,1.15842615,0.9796144015,1.138508587,1.044133736,1.205765322,1.193310151,10.6456141,13.57369492,3.887534009,2.051248521,1.696684405,1.583268694,0.1287463254,0.07894287531,52.01326038,0.2947261902,3.12768598,79.72153196,1.916587842,0.04310237371,0.1932196065,0.0,8.676154536,33.77502676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40.28890285,0.0,17.25991586,0.0,0.0009256909217,0.02400184318,30926.93208,19672.24808,2.558981131,1.608113423,5.808101005,374.7855533,0.2051026927,24.59480971,14.37985535,19.68005146,7.27854506,9.770644536,0.4788427224,0.0,3.849653644,0.9168386716,1.995035189,0.378034981,2.385882394,0.6306613232,5.101413242,8.354629018,0.2241990352,23.10791933,14.01375782,18.98699527,7.675825155,9.417496094,0.6800713985,0.0,3.53957165,0.93392362,4.486063508,0.4406262339,2.428222835,0.7666803636,5.084625838,8.214021857,53.86918143,112.2279474,1249.672355,1626.026548,17.42479418,17.48411225,1232.844894,24.37157583,17.87626298,11.37591416,1.773195163,0.3288847603,0.002401763422,405.2004069,27.03749515,50.49898832,0.4076803127,8.47936524,148.831389,148.9386072,21.43193125,51.6214493,526.2353266
8,S19S_0016,39.10415,-96.60276,Kansas,KS,13.2795,0.0,0.0,0.0,0.0,0.0,28.12151813,0.0,0.0,0.0,0.0,0.0,391.0890559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.002500057,34.04999924,1.549999952,0.5649999976,1.960000038,0.4850000143,0.3449999988,0.3650000095,21.53249931,0.04349999875,0.01221499965,84.4164505,0.03680108438,0.0,0.4045787869,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.487746261,4.313651777,9.503810394,586.7738497,0.0,0.0,0.0,10.09827177,88.2683836,0.0,0.04066418163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9149440868,0.6777363606,0.0,0.0,0.0,10.09827177,88.2683836,0.0,0.04066418163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9149440868,0.6777363606,7.123009149,3.380301358,1078.744869,1065.043363,11.2287124,11.38323511,868.4104469,18.89439002,12.46459493,6.029807691,0.4291280865,0.1506080801,0.002959402086,235.0,43.05920705,9.781697052,1.951915283,1.182707557,109.0792863,174.4989055,3.441150282,7.341498066,345.2368011
9,S19S_0017,38.94684,-96.44389,Kansas,KS,23.6493,0.6964265327,0.007611218937,6.391939719,12.12684096,0.4036229402,25.21258134,0.0,0.0,0.0,0.0,0.0,424.1392187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007611218937,0.0,0.0,0.0,0.0,3.002500057,34.04999924,1.549999952,0.5649999976,1.960000038,0.4850000143,0.3449999988,0.3650000095,21.53249931,0.04349999875,0.01221499965,84.4164505,0.2634623435,0.06876546029,0.421186589,0.0,0.0,0.0,0.0,25.34535906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,74.65464094,0.0,0.0,0.0,0.0,0.04228454965,15678.43818,2211.463003,4.897723092,3.855433306,8.463000501,523.876935,0.0,0.0,5.72363664,1.187350154,79.11862085,11.69844351,0.0,0.0,0.0,0.2968375385,0.05327853256,0.0,0.2740038817,0.0,1.598355977,0.04947292309,0.0,0.0,5.693191765,1.164516497,78.87506184,11.66419302,0.0,0.0,0.0,0.4642843551,0.05327853256,0.0,0.2778094912,0.0,1.758191574,0.04947292309,73.95060319,7.979012258,867.5267561,934.2495992,10.98031989,11.10822942,921.7165082,18.51493986,12.21321542,5.906386751,0.7916602009,0.3805609468,0.004563428516,235.0,44.63431328,10.18682764,1.926226738,1.104331545,125.1546387,167.8346992,0.9628549109,1.929884052,442.345968
12,S19S_0020,31.8531,-88.15748,Alabama,AL,46729.3446,0.932347979,0.09732963385,1.017024433,4.62983413,7.582469719,35.46439432,0.00101719333,0.2264101945,0.02550859658,90702.12557,71190.04206,116.0434167,0.0008987928326,0.001262589932,0.009458724572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.452462057,1.219581625,1.199250931,1.159525571,1.452092268,1.341384745,1.40553159,1.412567212,1.037391181,1.215163416,1.336669935,1.346288302,1.300704098,9.638661738,9.918690415,5.182968676,1.821982989,1.642175589,0.8529121842,0.1552135325,0.298828027,51.75230249,0.5131114529,23.04750452,27.96781325,1.130510767,0.05553878611,0.2894542141,0.0,22.47428204,18.09814255,0.0,0.1498974587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.83239415,0.0,0.0,0.4452837971,0.000920192662,0.01209090358,91786.13107,73425.1133,3.625216067,2.366034495,7.931116305,508.1047446,0.2197163279,16.06722256,5.057408402,24.36715515,3.132562018,13.29322303,0.4911126017,0.0,9.982994711,1.766470741,9.47080606,0.1437997913,1.319068361,0.4095413741,4.482174569,9.796744292,0.2788979839,15.92284113,4.904084617,23.30558516,3.242714857,13.00318708,0.5668808374,0.0,8.903301203,1.779018531,11.68933043,0.1745962857,1.39368871,0.5190220451,4.591714946,9.725136183,44.63979022,12.70153404,1419.81687,1922.322312,16.62512034,16.60792647,1419.325395,23.25567067,16.84369161,10.42671303,1.585690251,0.4031727849,0.003226350333,593.0383522,28.78255078,31.37334528,0.6004972392,4.500391626,132.8767083,134.217864,13.30088087,29.29048476,462.178797
13,S19S_0021,32.54108,-87.79821,Alabama,AL,16182.7929,2.13336599,0.2617335602,0.7802621017,4.226773037,18.33690769,34.88966508,0.0001309325736,0.579257243,0.02669502123,192119.3254,159776.0453,160.2813715,0.001606644796,0.002595349286,0.01538671362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.359577431,0.9970256741,0.9923818527,0.8393081518,1.108916743,1.01301488,0.9664098216,1.190842651,0.8344696792,0.9419671928,1.234794891,0.9426679371,0.9626335884,8.548999223,4.457583467,3.968250753,1.741496529,1.621000773,0.6891954403,0.1540672362,0.3044801151,56.92836911,0.3236541539,17.88830225,56.10790486,1.810560395,0.04531886118,0.2735807105,0.0,12.7903744,8.393209432,0.0,0.4328430848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77.09777402,0.0,0.0,1.285799066,0.0009887044899,0.01439800913,188989.3292,158106.5522,3.441052545,2.264924026,7.461865095,502.4510777,0.4784137107,17.34787077,2.285666648,28.59033437,4.173877798,14.50257638,0.0784110634,0.0,10.40500185,2.017292701,7.264438266,0.2993735402,2.146913714,0.7055049194,5.314450388,4.389873889,0.6087243445,17.30328453,2.190704671,27.48608925,4.011021484,14.28694178,0.110122524,0.0,9.603923189,2.029794869,9.06015673,0.3509950375,2.260361992,0.89990585,5.457168645,4.340805103,36.56568329,8.203979714,1377.724378,2015.118123,16.55935032,16.38056936,1429.334848,22.99855603,16.5633976,10.12325925,1.959629833,0.4081495723,0.005119891837,644.6020307,26.63256835,33.01951825,0.5481589031,5.193823617,106.76319,166.5105185,24.77035435,54.46635216,408.8699601
14,S19S_0022,32.96142,-87.40828,Alabama,AL,14.3658,0.0,0.0,0.0,0.0,0.0,38.90940985,0.0,0.8353172117,0.0,0.0,0.0,119.2078781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213005889,0.0,0.1002380654,0.1127678236,0.0,0.06264879088,0.01879463726,0.01879463726,0.1065029445,0.06264879088,5.350206741,0.03132439544,0.006264879088,13.16299116,1.086455589,9.062679416,2.346644552,1.171014175,1.087717993,0.1338337927,0.465720296,65.61609556,0.9345538554,18.08683798,9.249621143,0.01898258364,0.0,0.25,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.813285954,1.659720875,6.755517292,408.5503289,0.0,35.91028693,0.0,45.48928706,0.0,0.0,0.0,0.0,13.76393936,0.1190327027,0.2568600426,0.0,0.0,0.0,0.501190327,3.959403584,0.0,35.92281669,0.0,45.48302218,0.0,0.0,0.0,0.0,13.70755544,0.1190327027,0.3069790753,0.0,0.0,0.0,0.501190327,3.959403584,2.318005263,0.01869815927,1236.262152,1879.394645,17.08124625,16.83282375,1378.231532,23.88139315,17.22144628,10.55685788,0.5747155051,0.0,0.0,652.0,25.11,40.89,0.19,6.3,152.4,165.27,1.616338804,3.706302785,295.3399323
