,Sample_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,dis_m3_pmn,dis_m3_pmx,run_mm_syr,inu_pc_smn,inu_pc_umn,inu_pc_smx,inu_pc_umx,inu_pc_slt,inu_pc_ult,lka_pc_sse,lka_pc_use,lkv_mc_usu,rev_mc_usu,dor_pc_pva,ria_ha_ssu,ria_ha_usu,riv_tc_ssu,riv_tc_usu,gwt_cm_sav,ele_mt_sav,ele_mt_uav,ele_mt_smn,ele_mt_smx,slp_dg_sav,slp_dg_uav,sgr_dk_sav,clz_cl_smj,cls_cl_smj,tmp_dc_syr,tmp_dc_uyr,tmp_dc_smn,tmp_dc_smx,tmp_dc_s01,tmp_dc_s02,tmp_dc_s03,tmp_dc_s04,tmp_dc_s05,tmp_dc_s06,tmp_dc_s07,tmp_dc_s08,tmp_dc_s09,tmp_dc_s10,tmp_dc_s11,tmp_dc_s12,pre_mm_syr,pre_mm_uyr,pre_mm_s01,pre_mm_s02,pre_mm_s03,pre_mm_s04,pre_mm_s05,pre_mm_s06,pre_mm_s07,pre_mm_s08,pre_mm_s09,pre_mm_s10,pre_mm_s11,pre_mm_s12,pet_mm_syr,pet_mm_uyr,pet_mm_s01,pet_mm_s02,pet_mm_s03,pet_mm_s04,pet_mm_s05,pet_mm_s06,pet_mm_s07,pet_mm_s08,pet_mm_s09,pet_mm_s10,pet_mm_s11,pet_mm_s12,aet_mm_syr,aet_mm_uyr,aet_mm_s01,aet_mm_s02,aet_mm_s03,aet_mm_s04,aet_mm_s05,aet_mm_s06,aet_mm_s07,aet_mm_s08,aet_mm_s09,aet_mm_s10,aet_mm_s11,aet_mm_s12,ari_ix_sav,ari_ix_uav,cmi_ix_syr,cmi_ix_uyr,cmi_ix_s01,cmi_ix_s02,cmi_ix_s03,cmi_ix_s04,cmi_ix_s05,cmi_ix_s06,cmi_ix_s07,cmi_ix_s08,cmi_ix_s09,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,snw_pc_syr,snw_pc_uyr,snw_pc_smx,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,snw_pc_s07,snw_pc_s08,snw_pc_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,glc_cl_smj,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s16,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,glc_pc_s22,glc_pc_u01,glc_pc_u02,glc_pc_u03,glc_pc_u04,glc_pc_u05,glc_pc_u06,glc_pc_u07,glc_pc_u08,glc_pc_u09,glc_pc_u10,glc_pc_u11,glc_pc_u12,glc_pc_u13,glc_pc_u14,glc_pc_u15,glc_pc_u16,glc_pc_u17,glc_pc_u18,glc_pc_u19,glc_pc_u20,glc_pc_u21,glc_pc_u22,pnv_cl_smj,pnv_pc_s01,pnv_pc_s02,pnv_pc_s03,pnv_pc_s04,pnv_pc_s05,pnv_pc_s06,pnv_pc_s07,pnv_pc_s08,pnv_pc_s09,pnv_pc_s10,pnv_pc_s11,pnv_pc_s12,pnv_pc_s13,pnv_pc_s14,pnv_pc_s15,pnv_pc_u01,pnv_pc_u02,pnv_pc_u03,pnv_pc_u04,pnv_pc_u05,pnv_pc_u06,pnv_pc_u07,pnv_pc_u08,pnv_pc_u09,pnv_pc_u10,pnv_pc_u11,pnv_pc_u12,pnv_pc_u13,pnv_pc_u14,pnv_pc_u15,wet_cl_smj,wet_pc_sg1,wet_pc_ug1,wet_pc_sg2,wet_pc_ug2,wet_pc_s01,wet_pc_s02,wet_pc_s03,wet_pc_s04,wet_pc_s05,wet_pc_s06,wet_pc_s07,wet_pc_s08,wet_pc_s09,wet_pc_u01,wet_pc_u02,wet_pc_u03,wet_pc_u04,wet_pc_u05,wet_pc_u06,wet_pc_u07,wet_pc_u08,wet_pc_u09,for_pc_sse,for_pc_use,crp_pc_sse,crp_pc_use,pst_pc_sse,pst_pc_use,ire_pc_sse,ire_pc_use,gla_pc_sse,gla_pc_use,prm_pc_sse,prm_pc_use,pac_pc_sse,pac_pc_use,tbi_cl_smj,tec_cl_smj,fmh_cl_smj,fec_cl_smj,cly_pc_sav,cly_pc_uav,slt_pc_sav,slt_pc_uav,snd_pc_sav,snd_pc_uav,soc_th_sav,soc_th_uav,swc_pc_syr,swc_pc_uyr,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,swc_pc_s09,swc_pc_s10,swc_pc_s11,swc_pc_s12,lit_cl_smj,kar_pc_sse,kar_pc_use,ero_kh_sav,ero_kh_uav,pop_ct_ssu,pop_ct_usu,ppd_pk_sav,ppd_pk_uav,urb_pc_sse,urb_pc_use,nli_ix_sav,nli_ix_uav,rdd_mk_sav,rdd_mk_uav,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09,gad_id_smj,gdp_ud_sav,gdp_ud_ssu,gdp_ud_usu,hdi_ix_sav,Shape_Length,Shape_Area,layer
59,S19S_0006,0.0,0.0,168.5,168.6,731700300400,0,0,1,912200,2.95199990272522,1.70200002193451,6.08300018310547,550,3,3,8,8,10,10,0,0,0,0,0,29.3910007476807,29.3910007476807,97.8649978637695,97.8649978637695,167,135,135,3,224,20,20,65,11,68,123,123,-3,245,-3,10,58,114,170,219,245,235,196,132,75,21,1117,1117,81,77,98,90,109,99,99,102,97,82,92,91,1109,1109,25,33,64,102,144,165,175,153,111,73,40,25,851,851,25,33,64,97,126,126,115,94,69,49,30,23,101,101,1,1,70,58,34,-12,-24,-40,-43,-33,-12,11,57,72,2,2,20,2,20,1,0,0,0,0,0,0,0,1,4,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,70,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,70,5,0,0,0,0,89,0,0,11,0,0,0,0,0,0,0,0,0,0,0,89,0,0,11,0,0,0,0,0,0,0,11,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,5,5,1,1,0,0,0,0,0,0,5,5,4,339,5,158,19,19,37,37,45,45,29,29,82,82,99,100,100,96,89,78,67,62,62,67,77,91,4,0,0,1692,1691,333.299011230469,333.299011230469,1977.02600097656,1977.45300292969,93,93,6297,6300,8754,8756,390,390,392,392,240,64307,20720775168.0,20720766976.0,953,0.764563658388598,0.0176300755182112,BasinATLAS_v10_lev12_WHONDRS
83,S19S_0008,484.3,484.3,136.0,513.7,774429603200,0,0,3,861863,5.45800018310547,1.40499997138977,11.2790002822876,355,0,0,0,0,0,1,17,13,313,311,1806,25.8439998626709,74.8929977416992,123.001998901367,250.440002441406,503,2388,2740,1443,3156,123,123,787,7,37,58,38,-4,149,-2,-2,-1,23,62,111,149,145,114,74,26,1,747,685,138,119,111,62,24,11,8,10,25,34,95,110,893,808,29,33,49,68,97,125,147,130,94,62,34,26,520,490,24,33,49,66,83,81,67,43,26,18,13,16,84,86,-16,-14,79,72,56,-8,-75,-91,-94,-92,-73,-45,64,76,40,47,96,95,94,87,66,24,3,0,0,0,5,33,73,4,0,0,0,98,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,1,0,0,11,1,4,0,0,0,0,0,0,0,0,4,0,0,0,82,0,18,0,0,0,0,0,0,0,0,0,0,0,0,34,0,31,0,0,0,0,25,0,10,0,0,1,6,7,0,4,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,98,83,0,0,9,11,0,0,0,0,0,0,32,76,5,366,5,125,12,12,27,28,61,60,45,39,65,67,85,99,100,98,87,67,48,35,29,29,40,61,9,40,11,2188,5071,0.00700000021606684,0.00999999977648258,0.0520000010728836,0.0199999995529652,0,0,87,0,0,0,0,0,0,0,240,55768,305685.09375,305685.09375,951,0.634785405080224,0.0137771537378333,BasinATLAS_v10_lev12_WHONDRS
107,S19S_0010,55.3,55.3,195.6,35673.7,732541050300,0,0,1,914714,407.246002197266,164.231002807617,901.056030273438,338,2,1,23,2,62,5,5,6,2038,1665,130,311.68701171875,10506.0908203125,10615.689453125,155274.03125,29,20,141,9,41,5,15,6,14,90,192,175,100,274,100,116,152,190,228,259,274,270,248,198,151,113,1259,1204,100,95,108,75,102,131,166,162,111,65,60,85,1453,1415,59,70,111,144,175,179,185,166,131,104,72,58,1065,986,48,63,100,115,120,115,124,119,96,73,49,42,87,85,-13,-15,41,26,-3,-48,-41,-27,-10,-3,-15,-38,-16,32,1,0,3,1,1,1,0,0,0,0,0,0,0,0,3,4,0,1,0,82,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,2,0,65,0,0,0,0,0,0,0,0,9,0,0,22,0,0,0,1,0,2,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,0,1,0,0,0,0,0,0,0,10,63,5,63,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83,67,3,16,0,4,0,3,0,0,0,0,16,2,8,399,5,157,18,19,30,33,52,48,52,29,75,72,82,90,91,82,70,64,66,71,73,70,68,73,1,100,45,551,1165,5.41099977493286,2868.90893554688,28.0359992980957,81.5100021362305,0,7,1441,1700,325,829,131,141,121,136,240,45580,317348832.0,148695121920.0,921,0.679483199539696,0.0185888231907972,BasinATLAS_v10_lev12_WHONDRS
119,S19S_0011,470.7,470.7,243.6,1033.3,732544803000,0,0,3,914942,16.4290008544922,5.61700010299683,34.3300018310547,457,3,1,4,1,5,1,0,1,5,0,0,75.2580032348633,218.899993896484,630.22998046875,1218.26000976562,124,241,276,177,305,21,24,36,11,77,160,156,53,259,53,73,114,159,202,241,259,253,221,163,113,69,1289,1344,130,117,142,107,108,97,115,96,89,89,94,105,1334,1313,43,56,95,131,165,177,182,164,126,94,59,43,989,998,42,56,95,123,136,123,114,96,72,57,41,35,97,102,-3,2,67,52,33,-18,-35,-45,-37,-41,-29,-5,37,59,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,80,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,0,12,0,75,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,3,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,87,21,22,10,9,1,1,0,0,0,0,0,1,4,330,5,157,21,20,35,35,45,45,29,29,78,80,94,100,100,95,84,72,63,59,57,60,68,82,8,0,10,836,1267,55.6360015869141,192.421997070312,230.445999145508,187.445999145508,20,20,3383,3800,2020,1854,241,221,259,262,240,45580,2532912384.0,10313086976.0,921,0.937185966609331,0.0237621070628138,BasinATLAS_v10_lev12_WHONDRS
131,S19S_0012,163.2,163.2,116.5,378.2,731200407100,0,0,2,910712,8.23200035095215,5.02099990844727,17.2830009460449,703,2,1,6,4,50,32,421,205,11,0,0,33.9850006103516,85.2050018310547,213.787002563477,396.376007080078,386,212,241,140,389,42,41,28,7,48,77,74,-61,206,-61,-48,6,69,129,178,206,195,151,92,37,-33,1153,1142,87,81,91,98,105,102,99,103,91,95,103,97,965,957,15,22,47,84,132,154,165,142,99,61,29,16,782,774,15,22,47,83,123,126,118,95,67,45,25,16,120,119,16,16,82,73,49,15,-20,-34,-40,-27,-7,35,72,84,24,25,87,71,87,41,2,2,1,1,0,0,5,19,57,2,0,73,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,81,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,98,0,0,2,0,0,0,0,0,0,0,0,0,0,0,96,0,0,4,0,0,0,0,0,0,0,11,66,52,21,29,0,45,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,75,92,7,3,1,1,0,0,0,0,0,0,0,2,4,339,5,118,11,7,34,31,55,60,60,74,87,87,100,100,100,99,94,84,73,67,67,74,87,98,8,0,0,138,120,0.340999990701675,3.34599995613098,2.95300006866455,9.05700016021729,0,0,677,800,126,323,56,72,56,75,240,67299,15698830.0,218328544.0,954,0.605484002577578,0.0127603033003403,BasinATLAS_v10_lev12_WHONDRS
155,S19S_0014,144.4,144.4,106.8,7541.0,731804011400,0,0,2,912296,81.2379989624023,29.0620002746582,217.399993896484,385,1,0,5,0,16,1,0,0,12,0,0,71.8740005493164,2180.72607421875,1350.1240234375,21971.44140625,173,202,453,119,569,35,68,44,11,68,116,110,-11,235,-11,4,57,111,165,212,235,227,188,124,70,14,985,995,64,63,80,81,100,93,96,94,82,84,82,68,1120,1127,25,33,66,103,145,166,174,155,113,74,41,25,820,816,22,32,66,97,122,120,110,90,65,46,29,20,88,89,-12,-11,62,48,17,-21,-31,-44,-45,-39,-27,11,50,62,3,4,19,4,18,2,0,1,0,0,0,0,1,1,11,2,0,52,0,0,0,1,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,22,0,0,0,50,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,43,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,72,39,24,21,12,0,1,0,0,0,0,3,17,4,331,5,158,23,21,41,40,37,39,33,44,78,78,91,98,100,95,86,74,64,58,57,62,71,82,8,95,49,2217,2382,6.15999984741211,365.822998046875,57.859001159668,48.8079986572266,0,2,1672,1400,635,487,137,114,140,116,240,58068,386015040.0,22317363200.0,950,0.487811410454543,0.0111287477573206,BasinATLAS_v10_lev12_WHONDRS
167,S19S_0015,226.3,226.3,208.3,15218.6,732604701000,0,0,2,916304,203.458999633789,61.609001159668,445.696014404297,494,21,2,27,4,44,6,0,4,304,234,37,229.858993530273,4212.44189453125,5858.53076171875,52156.08984375,33,54,159,40,70,8,14,7,14,90,193,178,99,274,99,115,154,193,232,262,274,272,251,198,148,111,1323,1243,128,127,140,99,104,127,149,116,88,56,78,111,1498,1421,59,71,112,147,179,184,186,173,141,112,75,59,1098,1015,50,70,112,133,136,125,125,112,86,64,44,41,88,88,-12,-12,54,44,20,-32,-42,-31,-20,-33,-38,-50,4,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,13,0,0,0,0,0,0,0,0,7,0,0,77,0,0,0,0,0,0,0,1,0,51,0,0,0,0,0,0,0,0,8,0,0,38,0,0,0,0,0,2,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,3,0,0,0,0,0,0,0,3,12,1,5,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,52,34,26,3,4,28,8,0,0,0,0,0,0,8,399,7,155,21,20,36,34,42,47,27,28,75,74,85,96,100,93,78,69,67,65,61,57,58,69,6,100,60,6155,2196,1.08299994468689,776.403015136719,5.25500011444092,51.8019981384277,0,5,518,1300,257,581,133,144,93,123,240,45580,62079340.0,37019480064.0,921,0.78815179911965,0.0197069507302224,BasinATLAS_v10_lev12_WHONDRS
179,S19S_0016,2765.8,2765.8,215.6,215.6,742923004000,0,0,3,929748,1.16299998760223,0.541000008583069,2.44899988174438,176,0,0,0,0,1,1,0,0,0,0,0,19.5799999237061,19.5799999237061,45.5050010681152,45.5050010681152,256,401,401,313,459,23,24,44,11,68,120,120,-31,259,-31,0,55,120,177,229,259,248,198,137,59,-8,869,869,20,23,58,76,118,137,98,90,104,75,43,29,1155,1155,23,34,68,107,146,168,185,165,117,78,39,23,737,737,16,23,48,73,99,114,115,92,67,49,25,16,75,75,-25,-25,-12,-31,-15,-29,-19,-19,-47,-46,-11,-5,8,19,3,3,14,11,13,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,42,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26,26,1,1,0,0,0,0,9,9,8,392,7,143,24,24,49,49,27,27,22,22,66,66,71,70,70,69,67,68,63,56,57,62,65,68,5,100,100,1904,1904,0.209000006318092,0.209000006318092,0.97299998998642,0.97299998998642,0,0,378,400,226,225,77,77,70,70,240,51129,10830826.0,10830823.0,934,0.668594022823523,0.022445526686579,BasinATLAS_v10_lev12_WHONDRS
191,S19S_0017,2737.7,2737.7,135.0,135.1,742921783300,0,0,3,929476,0.805999994277954,0.386999994516373,1.65499997138977,188,0,0,0,0,0,0,0,0,0,0,0,10.2799997329712,10.2799997329712,17.25,17.25,179,430,430,366,473,17,17,47,11,68,120,120,-32,257,-32,-1,56,121,176,227,257,246,198,136,59,-8,880,880,20,23,61,80,119,135,94,91,104,74,47,30,1148,1148,23,33,68,107,145,166,184,164,117,78,39,23,747,747,16,24,49,75,101,116,115,92,68,49,26,16,77,77,-23,-23,-12,-31,-11,-25,-18,-19,-49,-44,-10,-5,17,23,4,4,18,15,15,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,53,53,1,1,0,0,0,0,0,0,8,392,7,143,23,23,49,49,28,28,20,20,67,67,72,72,71,71,70,69,64,57,58,62,66,70,5,98,98,1568,1567,0.412999987602234,0.412999987602234,3.05999994277954,3.06100010871887,0,0,152,200,131,131,78,78,80,80,240,51129,12870726.0,12870728.0,934,0.509980110936314,0.0140348115118912,BasinATLAS_v10_lev12_WHONDRS
227,S19S_0020,192.7,192.7,32.0,46934.3,732821501000,0,0,2,916983,959.705017089844,277.511993408203,1896.58898925781,591,5,1,5,1,18,3,1,6,3303,2751,91,94.5459976196289,19318.61328125,4188.80810546875,363728.71875,70,40,121,13,86,14,21,25,14,85,180,165,78,269,78,99,140,183,221,255,269,266,241,182,133,93,1504,1439,142,144,173,127,121,108,144,106,96,79,113,151,1489,1380,55,68,110,144,176,187,192,177,143,111,72,55,1128,1053,55,68,110,136,146,133,127,110,85,65,48,47,101,104,1,4,62,53,37,-12,-32,-43,-25,-40,-33,-29,36,64,0,0,2,2,0,0,0,0,1,0,0,0,1,0,2,4,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30,0,46,0,0,0,0,0,0,0,0,3,1,0,18,0,0,0,0,0,1,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,56,0,0,1,0,0,0,0,0,0,0,3,10,2,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,76,3,13,1,7,0,0,0,0,0,0,6,1,8,399,7,153,19,22,37,37,45,41,41,31,79,80,98,100,100,95,85,73,66,63,59,59,66,84,1,57,26,411,1111,0.177000001072884,1382.44702148438,5.55800008773804,29.7670001983643,0,2,495,1000,94,364,45,95,46,91,240,43949,5367049.5,58042130432.0,803,0.326761418875469,0.00304849783181572,BasinATLAS_v10_lev12_WHONDRS
239,S19S_0021,332.0,332.0,124.3,16253.6,732825010000,0,0,2,917061,324.795989990234,98.7870025634766,685.976989746094,544,3,1,3,1,11,2,15,8,2600,2351,230,242.356994628906,6620.953125,7455.9619140625,107807.203125,43,42,165,22,96,9,30,13,14,85,175,162,68,269,68,90,133,176,217,254,269,265,239,178,127,84,1389,1446,139,133,161,134,106,93,123,97,87,79,102,134,1415,1364,49,62,102,136,168,181,186,172,137,105,67,50,1051,1050,49,62,102,131,142,127,117,100,77,60,43,40,98,106,-2,6,65,53,37,-2,-37,-49,-34,-43,-36,-24,35,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,25,0,22,0,0,0,0,0,0,0,0,8,7,0,38,0,0,0,0,0,0,0,25,0,55,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,3,5,0,0,0,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,54,46,0,0,0,0,0,0,0,0,0,0,-9999,0,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,47,80,22,11,20,7,0,0,0,0,0,0,0,1,8,399,7,153,24,22,37,37,39,41,34,32,78,81,95,100,100,97,87,72,63,59,56,57,64,80,1,87,14,2199,1150,3.64199995994568,898.64599609375,29.8269996643066,55.9490013122559,2,4,1521,1400,424,613,187,118,144,113,240,43949,189624608.0,38084149248.0,803,0.519303843511479,0.0119247942063954,BasinATLAS_v10_lev12_WHONDRS
